분류,가수,제목,단가,비고,2026-07-05
K-POP,아이들 (i-dle),퀸카,100,,
K-POP,#안녕,너의 번호를 누르고,100,,
K-POP,10CM,봄이 좋냐??,100,,
K-POP,거북이,비행기,200,,
K-POP,거북이,빙고,200,,
K-POP,바이브,술이야,100,,
K-POP,김진표 feat. 제이레빗,아저씨,200,,
K-POP,뉴진스,Ditto,100,,
K-POP,산들,취기를 빌려,100,,
K-POP,산이,아는 사람 얘기,100,,
K-POP,"산이, 레이나",한여름밤의 꿀,100,,
K-POP,소녀시대,다시 만난 세계,100,,
K-POP,소녀시대,Oh!,100,,
K-POP,소녀시대,Gee,100,,
K-POP,"소유, 정기고",썸,100,,
K-POP,송민호 feat. 태양,겁,100,,
K-POP,아이브,I AM,100,,
K-POP,아이유,Love wins all,200,,
K-POP,에스파,Next Level,200,,
K-POP,윤도현,사랑했나봐,100,,
K-POP,키네틱플로우 feat. 이루마,몽환의 숲,100,,
K-POP,임재현,조금 취했어,100,,
K-POP,자이언티,양화대교,100,,
K-POP,트러블 메이커,Trouble Maker,150,,
K-POP,"장혜진, 윤민수",술이 문제야,100,1인 2역 차력쇼,
K-POP,적재,나랑 같이 걸을래,100,,
K-POP,지아,술 한잔 해요,100,,
K-POP,쿨,애상,100,1인 2역 차력쇼,
K-POP,트와이스,TT,100,,
K-POP,프라이머리 feat. 다이나믹 듀오,자니,100,,
K-POP,"프라이머리 feat. 최자, 자이언티",? (물음표),100,,
K-POP,한동근,이 소설의 끝을 다시 써보려 해,100,,
K-POP,한요한,범퍼카,200,,
K-POP,헤이즈 feat. 신용재,비도 오고 그래서,100,,
K-POP,황인욱,포장마차,100,,
K-POP,데이식스,한 페이지가 될 수 있게,100,,
K-POP,EXID,위아래,100,,
K-POP,지드래곤,그 XX,100,(그 뉴걸ver),
K-POP,이지 (izi),응급실,100,,
K-POP(애니),양정화,케로로 행진곡 (개구리 중사 케로로 OST),100,,
K-POP(애니),타이푼,사랑을 주세요 (개구리 중사 케로로 OST),100,,
K-POP(애니),전영호,날 막지 마! (우당탕탕 괴짜가족 OST),100,,
K-POP(애니),아이유,내 꿈은 파티시엘 (꿈빛 파티시엘 OST),100,,
K-POP(애니),이용신,나의 마음을 담아 (달빛천사 OST),200,,
K-POP(애니),이용신,New Future (달빛천사 OST),100,,
K-POP(애니),이재현,꿈을 이루어줘 도라에몽 (도라에몽 OST),100,한본어(한국어 2절 가사가 없음),
K-POP(애니),오상은,도라에몽의 노래 (도라에몽 OST),100,한본어(한국어 2절 가사가 없음),
K-POP(애니),전영호,Butter-Fly (디지몬 어드벤처 OST),100,,
K-POP(애니),정선혜,춤춰요 폼포코링 (마루코는 아홉살 OST),100,,
K-POP(애니),"후지오카 후지마키, 오하시 노조미",벼랑 위의 포뇨,100,한본어로 부름,
K-POP(애니),코요태,우리의 꿈 (원피스 OST),100,,
K-POP(애니),이용신,또 다른 나 (캐릭캐릭 체인지 OST),100,,
K-POP(애니),유정석,질풍가도 (쾌걸 근육맨 2세 OST),100,1구절만 부름,
J-POP,오오스기 쿠미코,도라에몽의 노래,100,,
J-POP,토아 feat. 하츠네 미쿠,누덕누덕 스타카토,200,,
J-POP,-,블레싱,300,1인 多역 차력쇼,
J-POP,-,커넥팅,300,1인 多역 차력쇼,
J-POP,나나오 아카리,다다다다 천사,100,,
J-POP,나츠카와 시이나,팬서비스,100,,
J-POP,니시노 카나,취급 설명서,100,,
J-POP,마후마후,생명에게 미움받고 있어,100 (눈나구 200),,
J-POP,바운디,도쿄 플래시,100,,
J-POP,바운디,사랑 감기에 실려,100,,
J-POP,바운디,괴수의 꽃노래,200,,
J-POP,바운디,무희,100,1키+,
J-POP,바운디,역광,200,,
J-POP,결속밴드,잊어주지 않을 거야,100,,
J-POP,스파이에어,사무라이 하트 (Some Like It Hot!!),100,,
J-POP,시이나 링고,마루노우치 새디스틱,100,,
