분류,가수,제목,단가,비고,2026-07-05
K-POP,멜로망스,부끄럼,,,
K-POP,경서,칵테일 사랑,,,
K-POP,악뮤,200%,,,
K-POP,윤도현밴드,가을 우체국 앞에서,,+4key,
K-POP,악뮤,후라이의 꿈,,,
K-POP,조광일,곡예사,,할때도있고 +1key,
K-POP,악뮤,시간과 낙엽,,,
K-POP,우예린,붉은 장미,,+1key,
K-POP,민쇼크 (MEANSHOCK) feat. 별은,빈 하늘에 불꽃을 그린다,,,
K-POP,정여진,그래 그래 (미소의 세상 OST),,,
K-POP,아이유,관객이 될게 (I stan U),,,
K-POP,성시경,거리에서,,,
K-POP,박효신,눈의 꽃,,,
K-POP,거미,어른아이,,,
K-POP,악뮤,사랑은 은하수 다방에서,,,
K-POP,자전거 탄 풍경,"너에게 난, 나에게 넌",,여자키 -2Key,
K-POP,아이유,Love wins all,,,
K-POP,이한철,슈퍼스타,,+6key,
K-POP,박혜경,카누를 타고 파라다이스에 갈 때,,,
K-POP,악뮤,Reality,,,
K-POP,안예은,문어의 꿈,,,
K-POP,윤하,은화,,,
K-POP,아이유,내 손을 잡아,,,
K-POP,10CM,너에게 닿기를,,,
K-POP,악뮤,DINOSAUR,,,
K-POP,윤하,사건의 지평선,,,
K-POP,안예은,낮에 뜨는 달,,,
K-POP,더 클래식,마법의 성,,,
K-POP,이용신,New Future (달빛천사 OST),,,
K-POP,강아윤,끝났다는 것은 다시 시작된다는 것을 (산나비 OST),,,
K-POP,윈터,처음 본 순간,,+2Key (후반부 익혀야댐),
K-POP,10CM,봄이 좋냐??,,+2Key,
K-POP,츄,일과 이분의 일,,,
K-POP,윤하,비밀번호 486,,-1key,
K-POP,김원준,Show,,+4key,
K-POP,이문세,깊은 밤을 날아서,,,
K-POP,"이문세, 이적",조조할인,,+2key,
K-POP,잔나비,주저하는 연인들을 위해,,여자키 (익혀오기),
K-POP,악뮤,뱃노래,,,
K-POP,유미,별 (미녀는 괴로워 OST),,,
K-POP,아이유,어푸,,,
K-POP,보아,아틀란티스 소녀,,,
K-POP,악뮤,길이나,,,
K-POP,악뮤,오랜 날 오랜 밤,,,
K-POP,아이유,밤편지,,,
K-POP,비비,밤양갱,,,
K-POP,제이레빗,Happy Things,,,
K-POP,악뮤,크레센도,,,
K-POP,김동률,출발,,여자키 -1Key,
K-POP,자우림,"스물다섯, 스물하나",,+1Key,
J-POP,츠키.,만찬가,,,
J-POP,아도,기라기라,,,
J-POP,바운디,괴수의 꽃노래,,+2Key,
J-POP,sumika,픽션 (오타쿠에게 사랑은 어려워 OST),,+3Key,
J-POP,에일 (eill),피날레.,,,
J-POP,아이묭,마리골드,,,
J-POP,란카 리=나카지마 메구미,성간비행,,,
J-POP,래드윔프스 (RADWIMPS),아무것도 아니야 (너의 이름은 OST),,+2Key,
J-POP,레이나 (Leina),선잠,,,
J-POP,백 넘버 (back number),히로인,,*익혀야댐,
J-POP,뒤에서부터 기어오는 부대 G,사랑은 혼돈의 노예,,,
J-POP,타케우치 마리야,Plastic Love,,,
J-POP,녹황색사회,Mela!,,,
J-POP,요네즈 켄시,아이네 클라이네,,+5key,
J-POP,그린 (GReeeeN),키세키,,,
J-POP,유유 feat. 하츠네 미쿠,심해소녀,,,
J-POP,supercell feat. 하츠네 미쿠,블랙 록 슈터,,,
J-POP,아이묭,사랑을 전하고 싶다던가,,,
J-POP,요네즈 켄시,IRIS OUT,,여자키,
J-POP,카나분 (KANA-BOON),실루엣,,+1Key,
J-POP,벌룬 feat. flower,샤를,,남자키,
J-POP,supercell feat. 하츠네 미쿠,월드 이즈 마인 (World is Mine),,,
J-POP,하치 feat. 하츠네 미쿠,모래의 행성,,+2Key,
J-POP,허니웍스 (HoneyWorks) feat. 하츠네 미쿠,지금 좋아하게 돼,,,
J-POP,토아 feat. 하츠네 미쿠,누덕누덕 스타카토,,,
J-POP,허니웍스 (HoneyWorks) feat. 구미,금요일의 아침인사,,,
J-POP,츠미키 feat. 카후,포니,,,
J-POP,Heavenz feat. 메구리네 루카,그것이 당신의 행복이라 할지라도,,,
J-POP,진 feat. IA,아야노의 행복이론,,,
J-POP,피노키오피 feat. 하츠네 미쿠,너도 나쁜 사람이라 다행이야,,,
J-POP,계속 한밤중이면 좋을 텐데.,저 녀석들 전원 동창회,,,
J-POP,halyosy feat. 하츠네 미쿠,벚꽃의 비,,,
J-POP,호시마치 스이세이,비비디바,,,
J-POP,오오이시 마사요시,네가 아니면 안될 것 같아 (월간소녀 노자키군 OST),,+1Key,
J-POP,유니즌 스퀘어 가든 (UNISON SQUARE GARDEN),슈가 송과 비터 스텝,,,
J-POP,테시마 아오이,숲속의 작은 레스토랑,,,
J-POP,뮤즈 (μ's),Snow halation (러브 라이브! OST),,,
J-POP,우타다 히카루,Beautiful World,,,
J-POP,히라노 아야,God knows... (스즈미야 하루히의 우울 OST),,,
J-POP,프레데릭,오도루프,,,
J-POP,카나분 (KANA-BOON),생떼부리기,,,
J-POP,덴포루P feat. 하츠네 미쿠,혼자 놀이 엔비,,,
J-POP,미키토P feat. 하츠네 미쿠,사요코,,,
J-POP,킹 누 (King Gnu),BOY,,,
J-POP,요네즈 켄시,매일,,+4Key,
J-POP,아카가미 feat. 구미,검은 고양이,,,
J-POP,DATEKEN feat. 카가미네 린,밀월 Un・Deux・Trois,,,
J-POP,키쿠오 feat. 하츠네 미쿠,君はできない子,,,
J-POP,학교생활부,친구하고 싶어 (학교생활! OST),,,
J-POP,코하라 코노미,반짝반짝 치카치카♡ (카구야님은 고백받고 싶어 OST),,,
